id,material,year,date
MP17-001,Rye,2017,Date 0
MP17-002,Rye,2017,Date 0
MP17-003,Rye,2017,Date 0
MP17-004,Rye,2017,Date 0
MP17-005,Rye,2017,Date 0
MP17-006,Rye,2017,Date 0
MP17-007,Rye,2017,Date 0
MP17-008,Rye,2017,Date 0
MP17-009,Rye,2017,Date 0
MP17-010,Rye,2017,Date 0
MP17-011,Rye,2017,Date 0
MP17-012,Rye,2017,Date 0
MP17-013,Rye,2017,Date 0
MP17-014,Rye,2017,Date 0
MP17-015,Rye,2017,Date 0
MP17-016,Rye,2017,Date 0
MP17-017,Rye,2017,Date 0
MP17-018,Rye,2017,Date 0
MP17-019,Rye,2017,Date 0
MP17-020,Rye,2017,Date 0
MP17-021,Rye,2017,Date 0
MP17-022,Rye,2017,Date 0
MP17-023,Rye,2017,Date 0
MP17-024,Rye,2017,Date 0
MP17-025,Rye,2017,Date 0
MP17-026,Rye,2017,Date 0
MP17-027,Rye,2017,Date 0
MP17-028,Rye,2017,Date 0
MP17-029,Rye,2017,Date 0
MP17-030,Rye,2017,Date 0
MP17-031,Rye,2017,Date 0
MP17-032,Rye,2017,Date 0
MP17-033,Rye,2017,Date 0
MP17-034,Rye,2017,Date 0
MP17-035,Rye,2017,Date 0
MP17-036,Rye,2017,Date 0
MP17-037,Rye,2017,Date 0
MP17-038,Rye,2017,Date 0
MP17-039,Rye,2017,Date 0
MP17-040,Rye,2017,Date 0
MP17-041,Rye,2017,Date 0
MP17-042,Rye,2017,Date 0
MP17-043,Rye,2017,Date 0
MP17-044,Rye,2017,Date 0
MP17-045,Rye,2017,Date 0
MP17-046,Rye,2017,Date 0
MC17-047,Squash,2017,Date 1
MC17-048,Squash,2017,Date 1
MC17-049,Squash,2017,Date 1
MC17-050,Squash,2017,Date 1
MC17-051,Squash,2017,Date 1
MC17-052,Squash,2017,Date 1
MC17-053,Squash,2017,Date 1
MC17-054,Squash,2017,Date 1
MC17-055,Squash,2017,Date 1
MC17-056,Squash,2017,Date 1
MC17-057,Squash,2017,Date 1
MC17-058,Squash,2017,Date 1
MC17-059,Squash,2017,Date 1
MC17-060,Squash,2017,Date 1
MC17-061,Squash,2017,Date 1
MC17-062,Squash,2017,Date 1
MC17-063,Squash,2017,Date 1
MC17-064,Squash,2017,Date 1
MC17-065,Squash,2017,Date 1
MC17-066,Squash,2017,Date 1
MC17-067,Squash,2017,Date 1
MC17-068,Squash,2017,Date 1
MC17-069,Squash,2017,Date 1
MC17-070,Squash,2017,Date 1
MC17-071,Squash,2017,Date 1
MC17-072,Squash,2017,Date 1
MC17-073,Squash,2017,Date 1
MC17-074,Squash,2017,Date 1
MC17-075,Squash,2017,Date 1
MC17-076,Squash,2017,Date 1
MC17-077,Squash,2017,Date 1
MC17-078,Squash,2017,Date 1
MC17-079,Squash,2017,Date 1
MC17-080,Squash,2017,Date 1
MC17-081,Squash,2017,Date 1
MC17-082,Squash,2017,Date 1
MC17-083,Squash,2017,Date 1
MC17-084,Squash,2017,Date 1
MC17-085,Squash,2017,Date 1
MC17-086,Squash,2017,Date 1
MC17-087,Squash,2017,Date 1
MC17-088,Squash,2017,Date 1
MC17-089,Squash,2017,Date 1
MC17-090,Squash,2017,Date 1
MC17-091,Squash,2017,Date 1
MC17-092,Squash,2017,Date 1
MC17-093,Squash,2017,Date 1
MC17-094,Squash,2017,Date 1
MC17-095,Squash,2017,Date 1
MC17-096,Squash,2017,Date 1
MC17-097,Squash,2017,Date 1
MC17-098,Squash,2017,Date 1
MC17-099,Squash,2017,Date 1
