7 déc. 2016  13:46:16    Rapport météo quotidien 2016									
									
Date de début du cumul des données : 1 avril 2016 à 0h									
									
            Météo                                                         									
            L'Acadie                                                      									
            --------------------------------------------------------------									
									
JJJ	JJ	MM	Temp.	Temp.	Temp.	Unités	Hum.	Préc.	Temp.
			(°C)	(°C)	(°C)	maïs	(%)	10	cm
			max.	min.	moy.	therm.	rel.	(mm)	sol
92	1	4	15.3	4	12	7.6	77.7	5.7	5.3
93	2	4	9.7	-0.6	4.4	7.6	71.4	1	4.8
94	3	4	-0.6	-8.2	-5.5	7.6	51.6	0	2.5
95	4	4	-3.5	-9.8	-7	7.6	53.2	0	1.1
96	5	4	-0.4	-9.8	-5.1	7.6	51.6	0	0.9
97	6	4	3.3	-7.7	-2	7.6	73.5	2.1	0.7
98	7	4	7.6	-0.3	2.3	7.6	96.3	24.8	0.8
99	8	4	4	-3.2	0.9	7.6	80.5	0.9	1
100	9	4	1.1	-5.2	-2.3	7.6	66.4	0	1.2
101	10	4	2	-7.3	-2.5	7.6	58.7	0	1.3
102	11	4	7.2	-1.6	3.1	7.6	88.8	10.3	1.5
103	12	4	8.2	1.4	5.3	7.6	76.3	1.4	3.2
104	13	4	6.8	-2	1.9	7.6	60.4	0	3.5
105	14	4	9.8	-2.7	3.5	7.6	59.4	0	4.2
106	15	4	13.6	-2.2	6.2	13.1	51.2	0	4.9
107	16	4	15.3	-0.6	7.6	20.7	47.2	0	5.9
108	17	4	21.6	0	11.5	34.4	43.7	0	7.1
109	18	4	12.8	4.3	7.2	38.7	68.7	8.7	7.4
110	19	4	14.1	2.9	8.4	44.8	58.9	1.2	7.3
111	20	4	12.6	-0.6	6.1	48.9	48.5	0	7.4
112	21	4	21.3	0.1	11.8	62.4	46.2	0	8.3
113	22	4	18	7.6	13	75.8	84.9	9.7	9.9
114	23	4	12	2.7	6.8	78.9	50.6	0	9.5
115	24	4	11	-2.3	4.3	80.6	39.6	0	8.3
116	25	4	9.4	-1.8	4.3	80.6	36.8	0	8
117	26	4	8	-1.4	3	80.6	41.6	0	7.4
118	27	4	7.8	-3.1	2	80.6	41.5	0	6.7
119	28	4	6.8	-4.2	1.3	80.6	50.2	0	6.5
120	29	4	11.8	-3.8	4.3	83.5	44.7	0	7.1
121	30	4	14.2	-1.5	7.3	89.8	38.5	0	8
122	1	5	10.2	3.2	7.1	90.1	67	6.6	8
123	2	5	8.4	6.3	7.2	91.9	91.4	5.3	8
124	3	5	12.2	5.4	8	96.2	76.5	0	8.5
125	4	5	14.8	2.4	8.5	103.2	81.2	0	8.6
126	5	5	16.4	4.3	10.8	112.2	69.2	0	9.5
127	6	5	20.6	3.2	12.7	125.1	54.9	0	10.5
128	7	5	23.2	8.9	16.2	143.8	62.8	0.4	12.1
129	8	5	14	0	8	149.8	79.8	11	11.3
130	9	5	10.8	-0.6	5	151.1	59	0.2	8.7
131	10	5	18.4	3	11	162.2	48.1	0	9.5
132	11	5	21.1	1.2	13.1	175.4	44.3	0	10.9
133	12	5	25.2	4.9	16.3	191.5	48	0	12.3
134	13	5	22.3	10.6	15.8	211.3	72.3	5.4	12.8
135	14	5	21.3	9.5	15.1	229.3	66.9	3.1	13.1
136	15	5	10.5	2.4	7.3	230.1	68.4	0.9	11.8
137	16	5	9.2	2.3	5.6	230.1	59.6	0.1	9.1
138	17	5	15.6	1.5	8.9	238.1	61	0	9.4
139	18	5	17.2	4.7	11.3	248.1	58.7	0	11.2
140	19	5	20.2	6.9	13.3	263	59.8	0	12.1
141	20	5	24.1	4.3	15.5	278.2	54	0	12.9
142	21	5	24.7	8.3	17.9	297.1	49	0	13.8
143	22	5	26.3	12.4	18.9	320.2	51.3	0	14.8
144	23	5	27	8.6	18.1	340.2	47.3	0	15.4
145	24	5	29.6	7.7	19.7	359.7	46.1	0	15.9
146	25	5	26.8	11.8	20	382.4	59.9	0	16.1
147	26	5	25	10.1	18.5	403.1	48.2	0	16.1
148	27	5	32.7	14.4	24.4	428.2	54.4	0.2	17.4
149	28	5	29	18.4	23.9	457.3	57.9	0	18.6
150	29	5	26.6	14.9	19.8	482.8	78.3	15.1	18.2
151	30	5	29.3	19.4	23.5	512.8	72.7	1.2	19.1
152	31	5	25.1	16.4	20.6	539.2	57.1	0	18.8
153	1	6	24.8	14.1	19.4	563.3	56	0	18.6
154	2	6	22.6	17.3	20.2	589.2	69.4	0.3	17.8
155	3	6	26.1	15.8	21.8	615.4	57.2	0	18.5
156	4	6	26.4	13.7	20.2	639.8	56.8	0	18.7
157	5	6	19.9	14.6	17.4	661.3	84.3	38.7	17.5
158	6	6	22.2	15.3	18.7	685.2	76.7	5.6	17.5
159	7	6	22.6	13	17.4	707.3	75.7	0.4	17.3
160	8	6	14.3	8.7	12.1	717.5	73.9	1.6	16.3
161	9	6	13.5	8.1	10.4	726.3	69.9	0.6	14.3
162	10	6	19.8	9	13.6	742.7	65.9	0	14.6
163	11	6	15	8	12.7	753.2	86	0	14.7
164	12	6	17	10.3	12.4	768.1	70.6	0.1	14.2
165	13	6	19.1	8.9	14.5	783.8	71.5	2.7	14.2
166	14	6	25.5	9.5	16.6	804.1	65.2	0.2	15.4
167	15	6	27	12.5	19.8	827.6	55.3	0	17.2
168	16	6	25.8	9.7	18.8	848.1	55.3	0	18
169	17	6	27.9	9.2	19.5	868.8	53.8	0.6	18.4
170	18	6	30	11.1	21.4	891.3	54.4	0	19.2
171	19	6	31.6	15	24	917.2	50.8	0	19.9
172	20	6	32.5	17.4	25.5	945.1	55.7	0.2	20.7
173	21	6	24.2	14.1	20.7	969	48.1	0	20.6
174	22	6	21.4	10.8	16.2	988.3	73.8	5.1	18.8
175	23	6	24.3	12.1	18.3	1010.4	60.6	0	18.9
176	24	6	25.7	9.5	18.4	1030.8	58.5	0	19.2
177	25	6	29.2	11.9	21.3	1054.1	60	0	20.1
178	26	6	31.6	14.4	24	1079.5	61.5	0	21.1
179	27	6	26.7	21	23.2	1110.5	70.1	0.5	21
180	28	6	26.6	18.6	21.7	1139.3	84.1	8.9	20.6
181	29	6	22.6	14.7	19.2	1162.9	88.5	3.1	20.5
182	30	6	27.2	11.9	20	1185.8	68.7	0	20.4
183	1	7	27.8	11.2	19.9	1208.2	73.7	1.3	20.4
184	2	7	19.6	10.5	16.3	1225.9	75.3	0.2	19.1
185	3	7	26.6	9.9	19.1	1246.8	63.2	0	18.7
186	4	7	29.1	15.9	22.4	1273.7	55.7	0.1	20
187	5	7	30	14.1	22.6	1298.9	57.9	0	20.8
188	6	7	30.9	19	24.6	1328.5	61.6	0	21.7
189	7	7	26.2	16.6	21	1355.5	78.8	0	22
190	8	7	24.1	16	19.7	1381.1	77.1	0	21.3
191	9	7	20.1	16.5	18.4	1404.5	87.6	12.6	20
192	10	7	18.2	13.1	16.8	1423.1	90.6	0.3	18.8
193	11	7	27.3	9.2	18.6	1443.7	76.9	0	19.2
194	12	7	28.8	13.4	21.7	1468.3	67.6	0	20.9
195	13	7	31.3	18.9	24.8	1497.7	74.4	1	22
196	14	7	29.5	21.4	24.5	1529.5	81.9	20.2	22.5
197	15	7	28.8	19	23.1	1559.1	75.2	9.1	22.5
198	16	7	24	16.4	19.7	1584.9	79.7	0	22.1
199	17	7	26.6	16.3	21	1611.7	75.8	0	22.1
200	18	7	29	17.7	22.5	1640.1	75.2	4.8	21.9
201	19	7	23.1	11.4	18.7	1661	61.9	0.3	21
202	20	7	25.6	11.4	18.9	1683.1	67.9	0	20.3
203	21	7	29.8	12.1	21.6	1706.6	69.9	0	21
204	22	7	31.1	19.5	25.2	1736.6	71.1	10.7	22.3
205	23	7	27.5	17.7	20.5	1764.9	86.9	10.8	21.9
206	24	7	24.4	11.8	19.2	1786.8	73.1	0	21.3
207	25	7	25.3	15.5	20.9	1812.4	89.1	3.6	21.2
208	26	7	27	17.2	22.6	1840.1	76.6	0	21.6
209	27	7	29.6	14.9	22.9	1866	77.1	0	22.1
210	28	7	26.8	18.4	22.7	1894.7	82.6	3.4	22.6
211	29	7	26	14.6	20.4	1919.7	74.3	0	22.2
212	30	7	25	14.1	19.4	1944.1	71.3	0	21.8
213	31	7	28.1	11.7	20.4	1967	69	0	21.6
214	1	8	25.6	16	20.2	1993.2	79.6	0	21.8
215	2	8	27.9	13.7	21.1	2017.9	70.4	0	21.9
216	3	8	28.9	14	21.5	2043	74.3	0	22.2
217	4	8	29.7	17.9	23.9	2071.7	70.4	0	22.8
218	5	8	30.9	18.9	25	2101.2	70.4	0.2	23.2
219	6	8	29	16	23.1	2128.2	69.5	0	23.3
220	7	8	26.5	13.7	20.5	2152.6	64.9	0	22
221	8	8	28.6	12	20.5	2175.9	62.1	0	21.3
222	9	8	28.3	9.1	19.9	2196.5	61.6	0	21.2
223	10	8	30.2	17.3	24.2	2224.6	74.9	0	22.2
224	11	8	31.8	18.5	24.8	2253.6	78.1	0	23.4
225	12	8	24.3	18.2	20.7	2281.2	91.6	53.7	22.8
226	13	8	21	17	19	2305.8	96.1	28.8	21.3
227	14	8	26.3	18.3	21.7	2334.3	87	11.4	21.6
228	15	8	26.2	17.2	21.1	2361.7	79.9	0	22.3
229	16	8	23.9	15.6	19.5	2386.8	93.8	31.8	21.5
230	17	8	25.9	16.3	20.6	2413.4	81.4	1	21.5
231	18	8	26.6	16.2	21.8	2440.1	81.4	0	22.3
232	19	8	26.6	13.1	20.1	2464	75	0	22.1
233	20	8	28.4	14.9	22	2489.9	74.4	0	22.2
234	21	8	26.8	18.9	22.9	2519.1	80.4	8.1	22.3
235	22	8	21.2	13.2	17	2540.4	70.7	0.1	20.7
236	23	8	25.4	11.4	18.7	2562.3	70.5	0	19.9
237	24	8	27.6	14.6	21.3	2587.8	78	0	21
238	25	8	24.1	20.4	21.9	2617.3	88.1	2.4	21.4
239	26	8	27.1	17.2	22.9	2645	80.3	0	22
240	27	8	25	14.9	20.2	2670	75.5	0	21.9
241	28	8	27.6	17.2	21.4	2697.8	86.6	6.6	21.7
242	29	8	24.4	14.9	20.4	2722.6	77.1	0	21.7
243	30	8	24.6	12.6	18.7	2745.4	81.4	0	20.7
244	31	8	23.7	17.7	19.7	2772.2	91	16	20.9
245	1	9	22.8	11.7	18	2793.2	78.2	1.4	20.5
246	2	9	21	11.7	16.3	2813	76.4	0	20
247	3	9	22.2	8.3	15.4	2830.6	81.1	0	19.4
248	4	9	24.6	8.4	16.9	2849.6	83.6	0	19.3
249	5	9	26.7	9.9	18.3	2870.6	81.6	0	19.7
250	6	9	27.9	9.9	18.6	2891.9	81.9	0	19.9
251	7	9	28.7	13	21.5	2916.1	79.2	0	20.5
252	8	9	25.7	20	23.1	2945.9	86.5	0.3	21.3
253	9	9	27.2	16.9	23	2973.3	75.6	0	21.7
254	10	9	28.4	16.1	22.2	3000.3	78.9	0.1	21.2
255	11	9	25.3	9.6	18.1	3020.6	72.3	27	20.6
256	12	9	23	6.4	14.4	3036.9	76	0	18.5
257	13	9	26.7	9.1	18.2	3057.2	74.3	0	18.6
258	14	9	20.8	10.1	17.1	3075.4	74.3	0.2	18.8
259	15	9	17.9	4.3	11.1	3085.9	76.4	0	17.2
260	16	9	21	4.6	12.6	3099.4	77.9	0	16.6
261	17	9	22.7	9.6	18.3	3118.5	75.5	0.1	17
262	18	9	27.6	17.8	21.3	3146.8	84.7	2.1	18.7
263	19	9	26	17.3	20.8	3174.2	87.7	0.5	19.5
264	20	9	27	11.9	20.1	3197.1	81.1	0	19.4
265	21	9	26.2	11.4	19.4	3219.4	61.9	0	18.8
266	22	9	24.2	12.6	17.4	3242	70.1	0	18.5
267	23	9	17.7	7.5	12.6	3255	82.5	5.3	17.5
268	24	9	17.5	5	10.9	3265.7	65.7	0	15.6
269	25	9	16.7	3.4	9.5	3275	67.5	0	14.4
270	26	9	18.1	1.2	10.6	3285.7	71.8	0	13.9
