17 nov. 2017  16:12:38    Rapport météo quotidien 2017									
									
Date de début du cumul des données : 1 avril 2017 à 0h									
									
2017									
            L'Acadie                                                									
            --------------------------------------------------------									
No	Jr	Ms	Temp.	Temp.	Temp.	Unités	Hum.	Préc.	Temp.
jour			max.	min.	moy.	therm.	rel.	(mm)	sol
			(°C)	(°C)	(°C)	maïs	(%)		(10 cm)
									
91	1	4	2.8	0.2	1	0	97.3	22.2	0
92	2	4	8.6	-0.7	3	0	82.9	0	0
93	3	4	8	-1.7	3.1	0	55.6	0	0
94	4	4	5.9	3.6	4.8	0	80.4	29.9	0
95	5	4	7.3	3.7	5	0	89.1	1.9	0.5
96	6	4	5.5	3.7	4.7	0	93.4	29.5	0.9
97	7	4	5.2	2	3.5	0	96.3	8.2	1.3
98	8	4	7	-0.5	2.5	0	75.9	0	1.2
99	9	4	15.8	-1.7	6.6	8.2	68.9	0	1.9
100	10	4	23.1	9.1	15.3	27	51.2	0.2	4.7
101	11	4	17.4	5.6	9.6	38.2	90	5.2	6.6
102	12	4	11	4.9	7.1	40.3	89.9	1.6	6
103	13	4	13.6	3.5	7.6	45.7	62.1	0	6
104	14	4	14.7	-0.6	7.1	52.6	56.2	0	6.2
105	15	4	18.7	0.7	9.7	63.9	66.5	2.6	6.9
106	16	4	16.9	9.3	12.4	77.8	94.8	19.9	8.9
107	17	4	9.9	4.1	7.5	77.8	74.6	1.3	8.6
108	18	4	9.1	0.9	5.3	77.8	61.1	0	7.6
109	19	4	9.8	4.5	6.9	77.9	78	15.3	7.1
110	20	4	8.6	5.6	7.2	79	81.8	0.2	7.3
111	21	4	10.1	7.1	8.6	81.5	88	2.6	7.4
112	22	4	8.8	6.8	7.8	83.7	84.4	0.4	7.6
113	23	4	17.7	-0.2	9.5	94.1	66.8	0	7.9
114	24	4	9.7	0.3	4.7	94.1	58.7	0	8.8
115	25	4	15.8	1.2	7.8	102.3	66.7	4.3	8.3
116	26	4	19.8	9.1	13	118.9	91.2	4	9.9
117	27	4	25.1	9.4	16.9	138.9	80.3	0	11.9
118	28	4	21.1	10.5	17.6	157.7	66.4	2	13.5
119	29	4	19.5	5.4	14.5	170.7	53	0.1	13
120	30	4	6.5	1.3	4.6	170.7	67.3	1.5	10.4
121	1	5	11.4	5.7	8.5	174.1	97.4	35	9.4
122	2	5	15.8	9.4	13.1	186.9	77.8	1.6	10.4
123	3	5	11.9	6.3	8.7	191.7	66.3	0.1	9.8
124	4	5	16.2	0.1	9.4	200.4	57.7	0	9.4
125	5	5	13.6	7.4	8.9	208.6	89.2	10.9	10
126	6	5	21.9	8	14	225.6	81.5	0.6	10.5
127	7	5	15.1	5.4	9	233.9	84	10.3	11.2
128	8	5	5.6	1.1	3.5	233.9	76.3	0.1	9.5
129	9	5	8.3	-0.1	4.1	233.9	77	0	8.8
130	10	5	11.5	2.8	7.8	236.4	68.6	0	9.3
131	11	5	15.1	6.2	9.6	245.3	77.1	0	9.9
132	12	5	18.6	6.1	12.5	258.1	73	0	11
133	13	5	18	8.5	13.6	272.4	74	0	12
134	14	5	12.1	8.5	10.1	279.4	86.7	1.1	11.9
135	15	5	21.3	8.9	14.2	296.9	69.8	0.7	12.2
136	16	5	22	9.1	15.7	315.2	62.8	0	13.4
137	17	5	30.6	10.4	21.1	337.1	59.3	0	14.8
138	18	5	31.5	19.2	26.4	366.8	50.8	0.1	16.8
139	19	5	20.3	10.4	15.6	384.9	59.6	0	16.4
140	20	5	17.5	4.2	10.9	395	47	0	14.6
141	21	5	19.9	4.8	13.3	407.7	53.3	0	14.1
142	22	5	15.1	9.3	11.5	419.5	90.3	5.4	13.6
143	23	5	21.5	10.1	15.1	438.3	69.7	0	14.1
144	24	5	24.2	8.8	17.2	457.3	69.7	0	15.1
145	25	5	20.4	12.4	15.9	477.4	77.1	7.6	15.2
146	26	5	13.3	11	12.5	488.3	87.4	1.4	14.1
147	27	5	22	9.3	15.4	506.7	74.7	0	14.6
148	28	5	25.4	9.3	18.1	526.7	66.5	0	16.3
149	29	5	18.7	12.4	15.4	545.3	81.8	4.6	16
150	30	5	18	12.2	14.3	562.9	88.2	1.8	14.8
151	31	5	23.1	12.2	16.6	584.6	79	1.3	15.5
152	1	6	19.1	10.7	14.9	601.9	69.9	0.3	15.8
153	2	6	14.8	5.6	10.7	610	80.5	3.6	14.7
154	3	6	16.7	9.2	12.3	623.6	81.1	1.2	14.2
155	4	6	22.7	10.7	16.1	643.6	72.5	0.1	15.1
156	5	6	15.9	12.6	14	659.3	90.4	13.4	15.1
157	6	6	15	10.1	12.2	671.7	88.8	8.8	14
158	7	6	24.7	8.1	16.2	690.4	68.4	0	14.6
159	8	6	28.1	9.8	19.6	711.7	64.8	0	16.8
160	9	6	25.1	14.6	19.4	736.4	63.9	0	17.3
161	10	6	25.4	7.8	18.1	755.2	64	0	17.1
162	11	6	31.4	18.7	25.5	784.5	56.8	0	18.9
163	12	6	32.6	19	26.7	813.8	58.3	0	20.1
164	13	6	26.5	17.6	24.1	841.7	51.3	0	20.5
165	14	6	20.5	10.1	16	859.7	46.3	0	19.1
166	15	6	24	7.5	17.1	877.6	51.2	0	18.6
167	16	6	20.7	13.7	16.6	899	84.1	20.7	17.9
168	17	6	26.8	16.4	21.3	926	79.8	0	18.4
169	18	6	30.6	21	25.3	957.4	76.4	1.7	20.6
170	19	6	25	19.3	22.1	986.4	88.8	9.3	21.1
171	20	6	23.6	17.8	20.1	1013.3	80.3	4.8	20.4
172	21	6	21.7	15.4	18.3	1037	73.8	0.3	19.5
173	22	6	24.4	14.2	19.4	1061	67.9	0	19.1
174	23	6	25.5	16	20.1	1087.1	92	15.8	19.2
175	24	6	25.8	16.8	21.3	1114.1	79.5	10	20.5
176	25	6	23.5	13.7	17.6	1137.3	78.4	0.3	20
177	26	6	21.5	12.7	17.1	1158.3	67.4	0	19.5
178	27	6	19.5	12.2	15.6	1177.4	81.7	3.7	19.2
179	28	6	22.8	11.8	16.6	1198.5	78	2.9	19
180	29	6	21.4	10.9	16.1	1217.9	84.6	3.6	18.5
181	30	6	23.9	15.3	19.6	1242.7	91.4	9.7	18.6
182	1	7	24.6	19	21.2	1271.2	92.1	1.2	19.4
183	2	7	24.3	18	20.3	1298.6	75.4	0.5	19.8
184	3	7	24.6	16.6	20.2	1324.9	67.8	0	20
185	4	7	25.8	14.1	20.2	1349.5	63	0	19.9
186	5	7	27.7	11.3	20.4	1372.1	61.7	0	20.2
187	6	7	28.2	15.5	21.8	1398.5	70.7	0.3	20.6
188	7	7	27.9	19.5	21.8	1428.5	79.5	16.4	21
189	8	7	23.7	16.8	19.8	1454.6	84.9	18.4	20.6
190	9	7	25.2	14.4	19.5	1479.2	71.1	0.2	20.3
191	10	7	26	16.9	20.1	1506.3	81.8	2.2	20.4
192	11	7	28	15.7	21.8	1532.8	77.9	0	20.8
193	12	7	21.6	15.9	18.1	1556.8	69.9	0	20.4
194	13	7	21.8	13.3	16.7	1578.6	77.2	0.8	19.2
195	14	7	20.6	12.1	16.8	1598.5	87.2	7.5	18.7
196	15	7	25.9	17.4	20.7	1626	82.4	0.9	19.5
197	16	7	26.7	15.9	21.8	1652.5	74.1	0	20.7
198	17	7	24	18.1	20.8	1679.9	85.5	0.7	21
199	18	7	28.6	16.6	22.1	1707.3	79.6	0	21.3
200	19	7	27.6	15.9	22.5	1734	76.5	0	21.7
201	20	7	28.5	17.3	21.6	1762	84.6	29	21.7
202	21	7	27.1	15.8	21.9	1788.5	71.2	0	21.5
203	22	7	24.4	16.1	19.8	1814.2	66.2	0	21.5
204	23	7	23.7	13.6	18.8	1837.4	54.6	0	21
205	24	7	19.3	13.4	15.9	1857.3	78.5	17.1	19.3
206	25	7	23.1	12.8	16.8	1879.5	78.4	1.7	18.7
207	26	7	24.2	11.1	18.1	1900.7	79.7	0	19.3
208	27	7	24.9	17.5	20.2	1927.9	84.5	7.7	19.9
209	28	7	22.6	11.9	18	1949	69.6	0	20
210	29	7	23.5	8.6	16.5	1967.6	70.3	0	19.6
211	30	7	25.7	10	18.2	1988.5	72	0	19.7
212	31	7	29	15.6	21.1	2015	77	0	20.7
213	1	8	26.9	13.7	21	2039.6	70.4	0	21
214	2	8	29.2	13.9	21.5	2064.6	77.2	0.8	21.3
215	3	8	27.2	15.5	21.3	2090.8	82.2	0	21.7
216	4	8	29	16.9	21.4	2118.4	84.8	53.9	21.8
217	5	8	24.9	15.3	19.9	2143.7	83.5	23.1	21.2
218	6	8	21	13.6	16.8	2165.3	67.9	0	20
219	7	8	20.5	11.9	16.4	2184.8	75.6	0	19.3
220	8	8	23.5	13.4	17.9	2207.6	74.6	0	19.9
221	9	8	23.9	12.8	18.4	2230.2	75.7	0	19.9
222	10	8	25.9	14.6	20.1	2255.2	78	0	20.1
223	11	8	26.7	17	21.6	2282.6	77.3	0	20.9
224	12	8	25	17	20.5	2309.5	86.4	10	21.1
225	13	8	25.5	15.3	20.3	2335	73	0.6	21.1
226	14	8	26	12.4	19.6	2358.1	74.8	0	20.8
227	15	8	25.6	16.3	20.1	2384.6	81.8	3.3	20.8
228	16	8	21.6	12.2	18	2405.2	67.5	0	20.5
229	17	8	24.3	11.4	18	2426.7	73.2	0	19.9
230	18	8	26.8	15.8	20.5	2453.1	84	14.7	20
231	19	8	26.6	18.1	22.1	2481.5	80.4	0	20.7
232	20	8	25	16.8	20.6	2508.2	75.4	0	20.9
233	21	8	27.8	14.2	21.3	2533.4	77.9	0	21
234	22	8	27.4	17.2	21.3	2561.1	87.9	7.8	21.1
235	23	8	22.2	15.6	18.8	2585.3	76.1	0.8	20.6
236	24	8	20.4	11.3	15.8	2604.2	77.3	0	19.4
237	25	8	20.5	8.7	14.5	2621	74	0	18.5
238	26	8	20.8	8.2	14.6	2637.5	74.1	0	18.1
239	27	8	22.3	7.4	14.9	2654.3	76.1	0	18.1
240	28	8	23.4	7.6	15.7	2671.9	72.9	0	17.9
241	29	8	23.3	11.1	16.8	2692.7	74.6	0	18.1
242	30	8	22.8	10.3	15.8	2712.4	71.6	0	18.2
243	31	8	19.1	10.8	15	2729.9	71.2	1.4	18
244	1	9	17	5.5	11.3	2740.6	64.2	0	16.3
