"No.Courge","X.Par","Traitement","TRT..","Rep1","Poids_g","HV.Pseudo","HV.Pénétrant","Pseudo.Cicatrice","Pseudo.bosse","Black.Rot"
"1",1,1,"Rye",1,1,1700,0,0,0,0,0
"2",2,1,"Rye",1,1,1170,0,0,0,0,0
"3",3,1,"Rye",1,1,1290,0,0,0,0,0
"4",4,1,"Rye",1,1,1020,0,0,0,0,0
"5",5,1,"Rye",1,1,1540,0,0,0,0,0
"6",6,1,"Rye",1,1,630,0,0,5,0,0
"7",7,1,"Rye",1,1,590,0,0,0,0,0
"8",8,1,"Rye",1,1,960,0,0,5,0,0
"9",9,1,"Rye",1,1,540,0,0,10,0,0
"10",10,1,"Rye",1,1,920,0,0,5,0,0
"11",11,1,"Rye",1,1,770,0,0,0,0,0
"12",12,1,"Rye",1,1,1240,0,0,5,0,0
"13",13,1,"Rye",1,1,1020,0,0,0,0,0
"14",14,1,"Rye",1,1,930,0,0,0,0,10
"15",15,1,"Rye",1,1,1480,0,0,0,0,5
"16",16,1,"Rye",1,1,1860,0,0,10,0,0
"17",17,1,"Rye",1,1,1370,0,0,5,0,0
"18",18,1,"Rye",1,1,980,0,0,0,0,0
"19",19,1,"Rye",1,1,650,0,0,0,0,0
"20",20,1,"Rye",1,1,1430,0,0,5,0,0
"21",21,1,"Rye",1,1,1060,0,0,0,0,0
"22",22,1,"Rye",1,1,950,0,0,5,0,0
"23",23,1,"Rye",1,1,1380,0,0,5,0,0
"24",24,1,"Rye",1,1,1300,0,0,0,0,0
"25",25,1,"Rye",1,1,1590,0,0,5,0,0
"26",26,1,"Rye",1,1,1050,0,0,0,0,0
"27",27,1,"Rye",1,1,1270,0,0,0,0,0
"28",28,1,"Rye",1,1,1980,0,0,0,0,0
"29",29,1,"Rye",1,1,800,0,0,0,0,0
"30",30,1,"Rye",1,1,810,0,0,5,0,0
"31",31,1,"Rye",1,1,940,0,0,0,0,0
"32",32,1,"Rye",1,1,1950,0,0,5,0,0
"33",33,1,"Rye",1,1,1770,0,0,0,0,0
"34",34,1,"Rye",1,1,1390,0,0,0,0,0
"35",35,1,"Rye",1,1,1590,0,0,5,0,0
"36",36,1,"Rye",1,1,1150,0,0,10,0,0
"37",37,1,"Rye",1,1,1040,0,0,0,0,0
"38",38,1,"Rye",1,1,1080,0,0,0,0,0
"39",39,1,"Rye",1,1,1510,0,0,0,0,0
"40",40,1,"Rye",1,1,1190,0,0,0,0,0
"41",41,1,"Rye",1,1,1470,0,0,5,0,0
"42",42,1,"Rye",1,1,900,0,0,0,0,0
"43",43,1,"Rye",1,1,910,0,0,5,0,0
"44",44,1,"Rye",1,1,1490,0,0,0,0,0
"45",45,1,"Rye",1,1,1490,0,0,0,0,0
"46",1,2,"Soil",4,1,NA,0,0,5,0,0
