"ech","type","date","parcelle","trt","block","sub_ech","poids","vol_saline","Filtre","temoin","run","Plaque_PCR","rep_seq","rep_run","pseudo_count","bact_count","pseudo_rawcount","bact_rawcount","dil_rif","count_rif","dil_tsa","X"
"P1","P1","Seigle","Date 0","3","Seigle",1,1,24.41,"100",NA,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P2","P2","Seigle","Date 0","3","Seigle",1,2,11.39,"100",NA,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P3","P3","Seigle","Date 0","3","Seigle",1,3,18.27,"100",NA,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P4","P4","Seigle","Date 0","4","Seigle_Bru",1,1,19.01,"100",NA,NA,2,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P5","P5","Seigle","Date 0","4","Seigle_Bru",1,2,18.97,"100",NA,NA,2,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P6","P6","Seigle","Date 0","4","Seigle_Bru",1,3,13.2,"100",NA,NA,2,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P7.1","P7.1","Seigle","Date 0","6","Seigle_Bru",2,1,16.46,"100",NA,NA,1,"1","x","x",NA,NA,NA,NA,NA,NA,NA,NA
"P7.2","P7.2","Seigle","Date 0","6","Seigle_Bru",2,1,16.46,"100",NA,NA,1,"4","x","x",NA,NA,NA,NA,NA,NA,NA,NA
"P7.3","P7.3","Seigle","Date 0","6","Seigle_Bru",2,1,16.46,"100",NA,NA,2,"8","x","x",NA,NA,NA,NA,NA,NA,NA,NA
"P8.I","P8.I","Seigle","Date 0","6","Seigle_Bru",2,2,21.23,"100",NA,NA,1,"1","Na","x",NA,NA,NA,NA,NA,NA,NA,NA
"P8.II","P8.II","Seigle","Date 0","6","Seigle_Bru",2,2,21.23,"100",NA,NA,2,"8",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA
"P9","P9","Seigle","Date 0","6","Seigle_Bru",2,3,19.6,"100",NA,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P10","P10","Seigle","Date 0","8","Seigle",2,1,18.16,"100",NA,NA,2,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P11","P11","Seigle","Date 0","8","Seigle",2,2,26.25,"100",NA,NA,2,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P12","P12","Seigle","Date 0","8","Seigle",2,3,30.32,"100",NA,NA,2,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P13","P13","Seigle","Date 0","10","Seigle",3,1,18.45,"100",NA,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P14","P14","Seigle","Date 0","10","Seigle",3,2,13,"100",NA,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P15","P15","Seigle","Date 0","10","Seigle",3,3,14.37,"100",NA,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P16","P16","Seigle","Date 0","11","Seigle_Bru",3,1,16.32,"100",NA,NA,2,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P17","P17","Seigle","Date 0","11","Seigle_Bru",3,2,17.54,"100",NA,NA,2,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P18","P18","Seigle","Date 0","11","Seigle_Bru",3,3,19.97,"100",NA,NA,2,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P19","P19","Seigle","Date 0","15","Seigle",4,1,18.63,"100",NA,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P20","P20","Seigle","Date 0","15","Seigle",4,2,18.43,"100",NA,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P21.1","P21.1","Seigle","Date 0","15","Seigle",4,3,20.34,"100",NA,NA,1,"1","x",NA,NA,NA,NA,NA,NA,NA,NA,NA
"P21.2","P21.2","Seigle","Date 0","15","Seigle",4,3,20.34,"100",NA,NA,1,"4","x",NA,NA,NA,NA,NA,NA,NA,NA,NA
"P22","P22","Seigle","Date 0","16","Seigle_Bru",4,1,16.38,"100",NA,NA,2,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P23","P23","Seigle","Date 0","16","Seigle_Bru",4,2,16.43,"100",NA,NA,2,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P24","P24","Seigle","Date 0","16","Seigle_Bru",4,3,19.51,"100",NA,NA,2,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P25","P25","Seigle","Date 0","18","Seigle",5,1,17.1,"100",NA,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P26","P26","Seigle","Date 0","18","Seigle",5,2,9.2,"100",NA,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P27","P27","Seigle","Date 0","18","Seigle",5,3,10.3,"100",NA,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P28","P28","Seigle","Date 0","19","Seigle_Bru",5,1,9.7,"100",NA,NA,2,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P29","P29","Seigle","Date 0","19","Seigle_Bru",5,2,17.32,"100",NA,NA,2,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P30","P30","Seigle","Date 0","19","Seigle_Bru",5,3,13.55,"100",NA,NA,2,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P31","P31","Seigle","Date 0","22","Seigle_Bru",6,1,17.35,"100",NA,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P32","P32","Seigle","Date 0","22","Seigle_Bru",6,2,18.36,"100",NA,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P33","P33","Seigle","Date 0","22","Seigle_Bru",6,3,18.61,"100",NA,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P34","P34","Seigle","Date 0","24","Seigle",6,1,17.46,"100",NA,NA,2,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P35","P35","Seigle","Date 0","24","Seigle",6,2,17.2,"100",NA,NA,2,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P36","P36","Seigle","Date 0","24","Seigle",6,3,11.26,"100",NA,NA,2,"5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P37","P37","Seigle","Date 1","3","Seigle",1,1,12.39,"110",NA,NA,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
